0_887,9,959,629
0_454,398,844,448
1_539,243,559,965
1_370,819,676,868
1_145,40,370,997
1_301,3,808,453
0_351,678,951,908
2_720,196,897,994
2_831,394,904,860
2_753,664,970,926
1_150,300,213,740
0_141,242,932,871
2_294,259,474,326
2_678,333,752,957
2_393,804,510,976
1_6,964,411,976
1_33,572,978,590
0_579,693,650,978
0_150,20,652,719
1_782,143,808,802
1_240,377,761,468
1_899,828,958,967
0_613,565,952,659
0_295,36,964,978
2_846,296,969,528
1_211,254,529,491
1_231,594,406,794
1_169,791,758,942
0_955,440,980,477
2_944,498,995,928
0_519,391,605,718
2_521,303,617,366
1_524,349,694,791
2_391,87,499,792
2_562,527,668,935
1_68,358,857,453
2_815,811,889,828
1_666,61,768,87
0_27,501,921,952
0_953,102,983,471
0_277,552,451,723
1_64,253,655,960
0_47,485,734,977
1_59,119,699,734
2_407,898,493,955
2_912,966,949,991
0_479,990,895,990
2_390,589,869,766
2_593,903,926,943
2_358,439,870,528
1_649,410,652,875
0_629,834,712,895
2_254,555,770,901
2_641,832,947,850
0_268,448,743,777
1_512,123,625,874
1_498,262,930,811
1_835,158,886,242
2_546,310,607,773
0_501,505,896,909
1_666,796,817,924
2_987,789,993,809
2_745,8,860,693
2_181,983,731,988
0_826,174,924,883
0_239,228,843,993
0_205,613,891,667
2_867,873,984,896
0_628,251,677,681
2_276,956,631,964
0_78,358,974,713
0_521,360,773,597
1_963,52,979,502
0_117,151,934,622
2_237,91,528,164
0_944,269,975,453
2_979,460,988,964
1_440,254,681,507
2_347,100,896,785
1_329,592,369,985
0_931,960,979,985
2_703,3,776,36
2_798,120,908,550
1_186,605,914,709
1_921,725,979,956
2_167,34,735,249
0_726,781,987,936
2_720,336,847,756
0_171,630,656,769
1_417,276,751,500
2_559,485,584,534
0_568,629,690,873
2_248,712,277,988
2_345,594,812,723
1_800,108,834,618
1_967,439,986,869
0_842,209,955,529
0_132,653,357,696
0_817,38,973,662
1_569,816,721,861
0_568,429,945,724
0_77,458,844,685
1_138,78,498,851
0_136,21,252,986
1_2,460,863,472
0_172,81,839,332
0_123,216,703,384
1_879,644,944,887
2_227,491,504,793
2_580,418,741,479
2_65,276,414,299
2_482,486,838,931
1_557,768,950,927
1_615,617,955,864
0_859,886,923,919
0_391,330,499,971
2_521,835,613,847
0_822,787,989,847
0_192,142,357,846
1_564,945,985,945
1_479,361,703,799
2_56,481,489,978
1_632,991,774,998
2_723,526,945,792
0_344,149,441,640
2_568,927,624,952
0_621,784,970,788
2_665,783,795,981
2_386,610,817,730
2_440,399,734,417
2_939,201,978,803
1_395,883,554,929
0_340,309,637,561
1_875,147,946,481
1_945,837,957,922
1_429,982,691,991
2_227,137,439,822
2_4,848,7,932
1_545,146,756,943
0_763,863,937,994
0_232,94,404,502
1_742,254,930,512
0_91,931,101,942
2_585,106,651,425
0_506,700,567,960
1_548,44,718,352
1_194,827,673,859
1_6,645,509,764
1_13,230,821,361
0_734,629,919,631
2_788,552,957,972
2_244,747,849,773
1_162,553,276,887
1_569,577,587,604
1_799,482,854,956
0_744,535,909,802
2_330,641,396,986
1_927,458,966,564
2_984,486,986,913
2_519,682,632,708
0_984,977,989,986
2_766,423,934,495
0_17,509,947,718
0_413,783,631,903
0_482,370,493,688
0_433,859,628,938
1_769,549,945,810
0_178,853,539,941
1_203,251,692,433
1_525,638,955,794
0_169,70,764,939
2_59,352,896,404
2_143,245,707,320
1_103,35,160,949
2_496,24,669,507
1_581,847,847,903
0_689,153,733,562
0_821,487,839,699
0_837,627,978,723
2_96,748,973,753
2_99,818,609,995
0_731,193,756,509
1_622,55,813,365
0_456,490,576,548
0_48,421,163,674
1_853,861,924,964
1_59,963,556,987
0_458,710,688,847
2_12,484,878,562
1_241,964,799,983
